0a3a6bc8-bc30-4cd8-bf10-b9264bc5a230	I loved to play music and need a new sound.I heard a synthesizer and new I needed to buy one.I looked online for a place to buy synths.I went to a local music store.	I decided to buy a harp.	0
9a002175-1684-4db0-b719-8f2997047e07	Jamie loves to read books and has thousands of them.Her house is becoming too crowded with books but she wants them all.Her son bought her a tablet and showed her how to use it.She has put all of her books onto the one tablet.	Jamie prefers to watch movies to reading books.	0
aa615e4f-83c1-4b65-96a4-6a989d253a52	Jesse had just started fifth grade.He tried to make friends with the other boys, but he couldn't.He decided to make friends with the girls instead.They girls welcomed him into their social groups happily.	Jesse was picked on by the other boys in school.	1
4835c7bd-1e52-4347-b409-cf29aa542353	Evan was starting high school.He was very nervous.He feared no one would talk to him.But then he found that all the students were very kind to him.	Evan decided to quit high school.	0
99d14ada-400e-43bb-9b0f-35d14c9d57b7	Tori stole a candy cane from her Christmas tree.Her mother had told her not to.She thought she had gotten away with it.However, her mother noticed and punished her.	Tori was happy her mother knew.	0
52e42087-99a0-4e42-a652-87e96e27600b	Alfred was sitting alone in his room when he heard a strange sound.The sound was getting louder and louder.Alfred was too scared to investigate the sound.Suddenly the sound stopped.	Alfred was disappointed.	0
b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79	My daughter has a list of things to do before she turns 40.She is only 30.One thing was to read the Bible cover to cover.I decided to read the Bible again to support my daughter.	I want my daughter to stop being a Christian.	0
77c86c22-80e1-48ea-a5f3-07d6cf5163c9	Me and my girlfriend went to buffalo, New york.We then got to experience niagara falls.We walked around a lot then went on a boat.I took a lot of photographs.	Next time I'll leave my girlfriend at home.	0
65c8e152-567a-4b94-968d-48b75fb9687f	One summer my sister and I set up a lemonade stand.It was the first month at a new house and we didn't know anyone.Few people walked by and even fewer stopped.The old pastor walked over from next door.	He bought lemonade and made us feel welcome in the neighborhood.	1
4ef6984e-daa8-4de0-9f68-b899126a7c72	Jim really wanted a new smart watch.He started saving his money because the watch was very expensive.One day he walked into work and there was a present on his desk.His boss had bought him a smart watch because of his excellent work.	Jim was delighted.	1
03a810c5-6385-470a-bf0f-4beae08c5284	I put the black plastic rose in a vase with water.I left it atop my bookcase for a few weeks.Ten people asked me about it.They wanted to know why I had a watered, fake flower.	After a few weeks the flower died.	0
8d60731a-7e29-4b7e-97c3-79d1bccc5613	The book Gina had started reading had been checked out.She wouldn't be able to see how the book ended for a month.She didn't have anything to read in the meantime.She searched the shelves, but nothing looked good.	Gina was annoyed.	1
d1324880-08f2-459a-bdfc-d918ee8104bd	Juanita realizes that she needs warmer clothing to get through winter.She looks for a jacket but at first everything she finds is expensive.Finally she finds a jacket she can afford.She buys the jacket and feels much better.	She is happy.	1
3309982d-6c74-429e-b45c-68412831b4a1	Today was Pinwheels for Peace Day.My teacher took the class towards the front of the school.Everyone planted pinwheels near the stop.When we looked at the wheels from afar, they were spinning.	Our teacher told us to go back and remove the pinwheels.	0
24ae4bf8-9e31-48a8-8a4d-e21425406fd9	She closed the door and locked it behind her.Her movement was sultry as she approached him.He watched in easy anticipation.She swept him into her arms and they kissed.	Then they painted the room.	0
801eb90f-f1d8-4145-893b-12cce532ebd7	I was on a cruise.We went to Haiti.I did not wear enough sunscreen.I got a horrible sunburn.	I swore to always wear sunscreen in the future.	1
2e80030a-9ade-4fdb-b693-444100733c1b	Rory was allergic to gluten and strawberries.One day she sat down to eat lunch at school.She opened her lunch box, and stared at a sandwich with strawberries.Her new step mom had packed her lunch for the first time.	Rory at the sandwich.	0
c33c24e3-c638-4ccb-bea0-cbf4ada0962c	Lucy's mom took her to see her first ballet at a young age.She decided at that moment she wanted to be a ballerina.She begged her mom to let her take lessons.Lucy was enrolled in her first class the following month.	Lucy was very angry she had to start ballet.	0
6ef7b889-f58d-477a-8539-50aaf66f0176	Chuck bought a stereo from a store today.He went home and set it all up and was excited to play his music.As soon as he play the first song one of the speakers broke.Chuck was upset and returned to the store with the broken stereo.	The stereo was perfectly fine.	0
7efd5758-6c1f-4c3f-a78f-474683a8a688	Ben was excited to go fishing with his grandfather for the first time.However, he found putting the worms on the hook to be disgusting.He accidentally pricked his finger with one of the hooks, too.Ben soon realized that fishing was not for him.	Ben asked his grandfather when they could go fishing next.	0
3d62935c-5ce2-4410-a500-54b140184956	One thing that Tina wanted to do in NYC was go to a hot dog stand.She finally saw a Nathan's stand and ordered a traditional one.The food tasted amazing.It was expensive but worth it.	She was happy with the hot dog.	1
ae2bcb8d-4386-46df-bd89-74045008069e	Jane wanted to get healthy, but cleanses were too harsh.She bought a green juice powder online.She drank the drink everyday for 2 weeks and ate lightly.Although it was tough Jane stuck with it for a month.	Jane had discipline.	1
98010215-383a-4188-80d5-d00e3db65835	Anna and Jessica were best friends for most of their lives.One day at school, Jessica heard Anna saying bad things about her.When Jessica confronted Anna, she lied about it.Jessica knew she could not trust Anna.	Jessica was sad that she had lost Anna as a friend.	1
a0342429-43a0-46e2-b3ca-2166bd1be7bf	My aunt is a huge marine life lover.She constantly watches documentaries.My uncle decided to surprise her for her birthday.He took her whale watching.	She loved it.	1
c44067aa-a52a-46a3-8e51-65655e013e07	Tina wanted to play a prank on her sister.Tina set her sister's alarm clock 3 hours ahead.The next morning her sister got up 3 hours early.When she realized what had happened she was very mad.	Tina's sister vowed to get even.	1
faa0ece8-fe5c-4821-8ba3-3bcef71492c8	Yesterday I went to toys r us.I had to get gifts for my cousins.I loaded my cart up.Thankfully I found out they had a sale.	I bought every mouse they had.	0
801eb90f-f1d8-4145-893b-12cce532ebd7	I was on a cruise.We went to Haiti.I did not wear enough sunscreen.I got a horrible sunburn.	The tanning booth was great.	0
34e043b3-9511-4589-8d32-3c91f92e0365	My spouse is a huge Star Wars fan and loves it.I needed a gift idea for him for a Christmas gift.I decided to buy him tickets to Star Wars.He loved his gift from me on Christmas morning.	He used the tickets to take me to see Star Wars with him.	1
